"school";"gender";"age";"address";"famSize";"pStatus";"mEdu";"fEdu";"mJob";"fJob";"reason";"traveltime";"studytime";"failures";"schoolsup";"famsup";"paid";"activities";"nursery";"higher";"internet";"romantic";"famrel";"goout";"alc";"health";"g1";"g2";"pass"
0;0;16;0;0;1;2;2;2;2;1;1;1;2;0;1;1;0;0;1;1;0;1;2;0;5;6;9;0
0;1;15;0;0;1;2;2;4;4;1;1;1;0;0;1;1;0;1;1;1;0;4;2;0;5;12;12;1
0;1;15;0;0;1;4;2;3;2;3;1;1;0;0;0;1;0;1;1;1;0;2;4;0;1;15;16;1
0;1;16;0;0;0;3;4;2;4;1;1;2;0;1;1;0;1;1;1;1;0;5;3;0;5;11;11;1
0;1;16;0;0;1;4;4;1;1;1;1;2;0;0;1;1;1;1;1;1;1;4;5;1;5;10;12;1
0;1;15;0;0;1;4;4;3;2;1;1;2;0;0;1;1;0;0;1;1;0;5;2;0;5;9;11;1
0;1;15;0;0;1;4;4;2;2;2;2;2;0;0;1;0;1;1;1;1;0;4;1;0;5;17;16;1
0;1;15;1;0;1;4;3;1;0;0;1;2;0;0;1;0;1;1;1;1;1;4;2;0;5;17;16;1
0;1;15;0;0;1;3;3;4;4;0;1;2;0;0;0;0;1;0;1;1;0;5;2;0;2;8;10;1
0;1;16;0;0;1;3;2;4;4;1;1;1;0;0;1;1;0;0;1;1;0;5;3;0;5;12;14;1
0;0;15;0;0;1;2;3;4;4;3;2;1;0;0;1;0;1;1;1;0;0;3;1;0;5;8;7;0
0;1;15;0;0;1;4;3;1;2;1;1;3;0;0;1;0;1;1;1;1;0;5;3;0;4;15;16;1
0;1;16;1;0;0;4;4;4;1;2;2;3;0;0;1;0;1;1;1;1;1;2;3;0;5;15;16;1
0;0;15;1;0;1;3;4;2;3;0;1;3;0;1;1;1;1;1;1;1;0;4;2;0;5;12;12;1
0;0;15;1;0;1;2;2;0;4;2;1;1;0;1;1;1;1;1;1;0;0;4;1;0;2;14;13;1
0;0;16;0;0;1;2;2;4;4;1;2;2;1;0;1;0;1;0;1;1;1;3;3;0;3;7;10;1
0;1;15;0;0;1;4;4;1;4;1;1;1;0;0;1;0;0;0;1;1;1;5;3;0;5;12;12;1
0;1;15;0;0;1;4;4;2;1;0;1;2;0;0;1;0;1;1;1;1;0;4;3;0;5;19;18;1
0;1;15;0;0;1;2;2;2;2;0;1;1;0;1;1;0;0;1;1;1;0;5;1;0;1;8;8;1
0;0;16;0;0;1;2;2;4;0;0;2;2;1;1;0;0;1;1;1;1;0;4;3;0;5;10;10;0
0;0;15;0;0;0;4;3;4;4;0;1;2;0;1;1;1;1;1;1;1;1;5;2;0;5;8;8;0
0;0;16;0;0;0;3;3;4;2;1;1;2;0;0;1;0;0;1;1;1;0;2;5;0;3;11;12;1
0;1;16;0;0;1;4;3;3;2;2;1;4;0;0;0;0;1;1;1;1;0;4;2;0;2;19;19;1
0;1;15;0;0;1;4;2;1;4;1;1;2;0;0;1;1;0;1;1;0;0;4;3;0;5;15;15;1
0;0;15;0;0;1;4;4;2;1;3;1;2;1;1;1;0;1;0;1;1;0;4;4;0;3;7;7;0
0;0;16;0;0;1;2;2;2;2;0;3;2;0;0;1;1;0;1;1;1;0;4;3;0;4;12;13;1
0;0;15;0;0;1;4;2;3;4;3;1;2;0;0;1;1;0;1;1;1;0;4;3;0;5;11;13;1
0;1;15;0;0;0;4;2;3;3;3;2;1;1;0;0;0;0;1;1;0;0;5;5;0;5;11;11;1
0;0;15;0;0;1;4;4;2;2;0;1;1;0;1;1;1;0;1;1;1;0;3;4;0;5;8;10;1
0;0;15;0;0;0;3;3;4;4;3;1;1;0;0;0;1;0;1;1;1;0;5;4;0;1;10;13;1
0;0;16;0;0;0;2;1;4;4;3;1;2;0;0;0;1;1;1;1;1;1;5;4;0;2;8;9;1
0;0;15;0;0;0;4;3;2;2;2;1;2;0;0;1;1;1;1;1;1;0;4;2;0;1;14;15;1
0;1;15;0;0;1;4;4;1;3;2;1;2;0;0;1;0;1;1;1;0;0;3;2;0;5;14;15;1
0;1;15;0;0;1;1;2;4;0;1;1;2;0;1;1;0;1;1;1;1;0;4;2;0;5;9;10;0
0;0;16;0;0;1;4;2;2;4;0;1;2;0;0;1;0;0;1;1;1;0;4;3;0;5;15;16;1
0;0;16;1;0;1;4;4;3;1;3;1;2;0;0;1;0;1;1;1;0;0;2;4;0;4;10;11;1
0;0;16;0;0;1;1;1;2;2;0;4;1;0;1;1;0;1;0;1;1;1;5;5;1;5;10;8;1
0;0;16;0;0;1;1;2;4;2;2;1;2;0;1;0;0;1;1;1;1;0;4;3;0;1;8;10;0
0;0;16;0;0;1;4;3;1;3;1;1;3;0;1;1;1;1;1;1;1;0;3;4;0;4;10;9;0
0;0;15;0;0;1;4;3;2;2;2;1;2;0;1;0;0;1;1;1;1;1;4;4;0;2;10;10;1
0;0;16;0;0;1;4;3;1;2;0;3;2;0;0;1;0;1;1;1;1;0;5;3;0;1;16;15;1
0;1;15;0;0;0;4;4;4;2;2;1;4;0;0;1;0;1;0;1;1;1;1;3;1;3;13;13;1
0;0;16;0;0;1;3;1;2;4;0;1;4;0;1;1;1;0;1;1;1;0;4;3;0;5;7;7;0
0;0;15;1;0;1;2;2;3;2;2;2;2;0;1;1;1;0;1;1;1;0;4;3;0;4;8;9;0
0;0;15;1;0;1;3;1;4;4;2;2;4;0;0;1;0;0;0;1;1;0;4;2;0;3;16;16;1
0;1;16;0;0;1;3;1;4;4;2;2;4;0;0;1;1;0;1;1;1;0;4;2;0;5;13;15;1
0;1;15;0;0;1;4;2;4;4;0;1;4;0;0;0;0;0;1;1;1;0;3;3;0;3;10;10;1
0;0;15;1;0;1;1;1;4;4;2;1;2;2;1;1;0;0;0;1;1;1;3;4;0;5;8;6;0
0;1;16;0;0;1;3;1;4;4;2;1;1;0;0;0;0;1;1;1;0;0;5;2;0;5;12;12;1
0;0;16;0;0;1;3;3;4;2;1;1;2;0;1;1;1;1;1;1;1;0;4;3;0;5;11;12;1
0;1;15;0;0;1;4;3;1;4;1;1;2;0;0;1;1;1;1;1;1;0;4;3;0;5;9;9;1
0;1;15;0;0;1;4;0;1;4;0;2;4;0;0;0;0;1;1;1;1;0;3;3;0;1;11;11;1
0;0;16;0;0;1;2;2;4;4;2;1;4;0;0;0;1;0;1;1;1;1;5;3;0;3;11;11;1
0;1;17;0;0;1;2;1;4;4;1;2;1;3;1;1;0;1;1;0;1;0;4;1;0;3;8;8;1
0;0;16;0;0;1;3;4;0;4;0;1;2;0;0;1;0;0;1;1;1;0;2;3;0;3;5;5;0
0;1;15;0;0;1;2;3;4;2;0;1;1;0;1;1;1;1;0;1;1;1;3;2;0;3;10;12;1
0;1;15;0;0;1;2;3;4;4;1;1;3;0;1;0;1;0;0;1;1;0;5;2;0;5;11;10;1
0;0;15;0;0;1;3;2;2;4;2;1;2;0;0;1;1;0;1;1;1;0;4;4;0;5;7;6;0
0;1;15;0;0;1;2;2;2;2;1;2;2;0;0;0;1;1;1;1;1;0;5;3;0;4;15;15;1
0;0;15;0;0;1;1;1;4;4;1;1;2;0;0;1;0;1;0;1;1;0;4;2;0;4;9;10;1
0;0;15;0;0;1;4;4;2;2;2;2;2;2;0;0;1;0;1;1;1;1;4;4;0;5;7;9;0
0;0;16;0;0;1;2;2;0;4;0;1;2;0;0;1;0;0;1;1;0;0;4;4;0;2;8;7;0
0;0;15;0;0;1;4;2;4;4;2;1;3;0;0;1;0;1;1;1;1;0;5;3;0;1;13;14;1
0;1;16;0;0;1;2;2;2;4;2;2;2;1;0;0;1;1;0;1;1;0;4;2;0;3;11;10;1
0;1;16;0;0;0;4;4;1;3;2;1;2;0;0;1;0;0;1;1;0;0;4;3;0;5;8;6;0
0;0;16;0;0;1;3;3;4;4;1;1;3;0;0;1;1;0;1;1;1;1;4;3;0;4;7;7;0
0;0;15;0;0;1;4;3;2;4;2;1;1;0;0;0;1;1;1;1;1;0;4;5;0;1;16;17;1
0;0;16;0;0;1;3;1;4;4;1;1;2;0;1;1;0;0;1;1;0;0;3;3;0;2;7;6;0
0;0;16;0;0;1;4;2;1;2;1;2;2;0;0;1;1;1;1;1;1;0;5;3;0;1;11;10;1
0;1;15;0;0;1;2;2;2;3;2;1;4;0;0;1;0;1;1;1;1;0;4;4;0;4;11;13;1
0;0;15;1;0;1;1;1;0;4;1;2;4;1;1;1;1;1;1;1;1;0;3;2;0;1;7;10;1
0;1;16;1;0;1;4;3;2;4;2;2;1;0;1;1;0;1;0;1;1;0;3;3;0;4;11;15;1
0;0;16;0;0;1;2;1;4;4;0;1;2;0;0;1;1;0;1;1;0;1;4;5;0;5;8;9;1
0;0;16;0;0;1;4;4;4;4;2;1;1;0;0;0;0;1;0;1;1;0;5;4;0;1;11;14;1
0;0;16;0;0;1;4;3;4;0;0;1;3;0;1;1;1;0;1;1;1;0;5;5;0;3;7;9;0
0;1;16;0;0;1;4;4;2;2;3;1;1;0;1;1;1;1;1;1;1;0;4;5;1;4;7;7;0
0;1;16;0;0;1;4;4;2;1;3;1;3;0;0;1;0;1;1;1;1;1;4;3;0;4;16;17;1
0;1;15;0;0;1;4;4;2;4;0;1;1;0;0;1;0;1;0;1;1;0;5;3;0;5;10;13;1
0;0;15;0;0;1;3;2;2;4;1;2;2;0;1;1;1;0;1;1;1;0;4;5;0;2;7;6;0
0;1;15;0;0;0;3;4;2;4;0;1;2;0;0;1;1;1;1;1;1;0;5;4;0;1;16;18;1
0;0;15;0;0;0;3;3;4;3;2;1;4;0;1;0;0;0;1;1;0;0;4;3;0;4;10;11;1
0;0;15;0;0;1;2;2;4;4;0;1;4;0;1;1;1;0;1;1;1;0;5;2;0;3;7;8;0
0;1;16;0;0;1;3;3;2;4;1;1;3;0;0;1;0;1;1;1;1;0;5;3;0;5;16;18;1
0;1;15;1;0;1;4;4;4;4;1;4;4;0;0;1;1;1;1;1;1;1;1;5;0;1;10;13;1
0;0;16;0;0;1;4;4;3;3;3;1;3;0;0;1;1;1;1;1;1;1;5;5;0;4;14;15;1
0;1;15;0;0;0;4;4;1;1;0;1;1;0;0;0;0;1;1;1;1;0;5;3;0;4;18;19;1
0;0;16;1;0;1;3;3;2;4;2;1;3;1;1;1;0;1;1;1;1;0;4;2;0;2;7;10;1
0;0;16;0;0;1;2;2;0;4;1;1;2;1;1;0;0;1;1;1;1;0;3;2;0;5;10;13;1
0;1;15;0;0;1;4;2;1;4;0;1;1;0;0;0;0;0;1;1;1;0;3;2;0;3;18;19;1
0;1;15;1;0;1;2;1;3;2;2;1;2;0;0;0;0;1;1;1;1;1;5;2;0;5;9;9;0
0;1;16;0;0;1;4;4;1;1;0;1;2;0;0;1;0;1;1;1;1;0;5;4;0;5;15;15;1
0;1;15;0;0;1;4;4;4;1;2;2;2;0;0;1;0;1;1;1;0;0;4;3;0;2;11;13;1
0;1;16;0;0;1;3;3;4;2;1;2;1;0;0;0;0;1;1;1;1;0;5;2;0;5;13;14;1
0;1;17;1;0;1;1;3;4;4;0;3;2;1;0;1;0;1;1;1;1;0;5;4;0;5;9;7;0
0;1;15;0;0;1;3;4;4;4;2;1;1;0;0;0;0;0;1;1;1;0;3;3;0;4;14;13;1
0;0;15;0;0;1;1;2;0;2;0;1;2;0;0;0;0;0;0;1;1;0;3;3;0;1;16;15;1
0;1;15;0;0;1;2;2;2;2;1;1;4;0;0;1;1;1;1;1;1;0;5;4;0;5;16;14;1
0;0;16;0;0;1;2;4;4;3;0;2;2;0;0;1;1;1;1;1;1;1;4;2;0;5;13;13;1
0;1;16;0;0;1;4;4;3;4;0;1;1;0;0;1;0;1;1;1;1;0;3;4;0;5;14;11;1
0;0;16;0;0;1;2;2;4;4;1;1;2;0;0;0;1;0;1;1;1;1;5;4;0;5;8;7;0
0;1;15;0;0;1;3;4;2;2;1;1;1;0;1;0;0;0;1;1;1;0;5;5;0;5;13;13;1
0;0;15;0;0;0;3;4;4;4;1;1;2;0;1;0;0;1;1;1;1;1;5;2;0;1;7;10;1
0;0;19;0;0;1;0;1;0;4;0;1;2;3;0;1;0;0;0;0;0;0;3;2;0;5;7;8;0
0;1;18;1;0;1;2;2;2;4;2;1;1;2;0;1;0;1;1;1;1;0;3;3;0;4;7;4;0
0;1;16;1;0;1;4;4;1;1;0;1;1;0;0;0;1;1;1;1;1;0;3;5;0;4;18;18;1
0;0;15;1;0;1;3;4;2;1;0;2;3;2;0;1;0;0;1;1;1;1;4;2;0;5;12;0;0
0;0;15;0;0;1;1;1;0;4;0;3;1;0;0;1;0;1;0;1;1;1;4;3;0;4;8;0;0
0;0;17;0;0;1;2;2;4;4;0;1;1;0;0;1;0;0;1;1;1;1;3;4;0;5;10;13;1
0;0;16;0;0;0;3;4;2;4;0;1;1;0;0;0;0;0;1;1;1;0;3;1;0;5;12;11;1
0;1;15;1;0;1;3;4;0;1;0;4;2;0;0;1;0;0;1;1;0;1;5;3;0;5;9;0;0
0;0;15;0;0;1;4;4;2;0;0;1;3;0;0;1;0;1;1;1;1;1;4;3;0;5;11;0;0
0;1;17;1;0;1;3;4;0;4;0;3;2;0;0;0;0;0;1;1;0;0;5;5;0;5;10;0;0
0;0;16;0;0;0;3;3;4;4;0;2;1;2;0;1;0;1;0;1;1;1;4;2;0;5;4;0;0
0;1;16;0;0;1;1;1;2;4;0;1;2;1;0;0;0;0;1;1;0;1;4;4;0;5;14;12;1
0;0;15;0;0;1;4;4;1;1;0;2;1;0;0;0;0;1;1;1;1;0;4;2;0;5;16;16;1
0;1;15;0;0;1;4;3;1;2;0;2;4;0;1;1;0;0;1;1;1;0;2;2;0;3;7;9;0
0;1;16;0;0;1;2;2;2;2;2;2;1;2;0;1;0;1;1;1;1;0;2;3;0;2;9;9;0
0;0;15;0;0;1;4;4;1;2;0;1;3;0;0;1;1;1;1;1;1;0;4;2;0;5;9;11;1
0;0;16;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;3;4;0;1;14;14;1
0;1;17;0;0;1;2;1;4;4;1;1;1;3;0;1;0;0;1;1;1;0;5;5;0;5;5;0;0
0;0;15;0;0;1;1;1;4;2;0;1;2;0;0;1;1;0;1;1;1;0;4;2;0;5;8;11;1
0;0;15;0;0;1;3;2;3;2;1;1;2;3;0;1;0;0;1;1;1;0;3;2;0;3;6;7;0
0;0;15;0;0;1;1;2;0;4;0;1;2;0;0;1;1;0;0;1;1;0;4;2;0;5;10;11;1
0;1;16;0;0;1;4;4;1;1;0;1;1;0;0;1;0;0;1;0;1;1;3;2;0;5;7;6;0
0;1;15;0;0;0;2;1;2;4;0;4;1;3;0;0;0;0;1;1;1;0;4;5;0;5;8;9;1
0;1;18;0;0;1;1;1;4;4;0;1;1;3;0;0;0;0;1;0;1;1;2;5;0;4;6;5;0
0;1;16;0;0;1;2;1;0;4;0;1;1;1;0;0;0;1;1;1;0;1;4;4;0;5;12;13;1
0;0;15;1;0;1;3;3;2;2;2;2;3;2;0;1;1;1;1;1;1;1;4;1;0;3;10;10;1
0;1;19;0;0;1;3;2;2;0;1;1;1;3;0;1;0;0;1;0;1;1;4;4;0;4;5;0;0
0;0;17;0;0;1;4;4;4;1;0;1;1;0;1;1;0;0;1;1;0;1;4;1;0;4;11;11;1
0;1;15;1;0;1;2;3;0;2;0;1;2;0;1;0;1;1;1;1;0;0;4;4;0;1;11;8;0
0;1;17;1;0;1;1;2;4;4;2;1;1;0;0;0;0;0;1;1;0;0;2;2;0;5;16;12;1
0;0;18;1;0;1;1;1;0;4;0;3;1;3;0;1;0;1;0;1;0;0;5;5;0;4;9;8;1
0;1;16;1;0;1;2;2;0;4;0;3;1;0;0;0;0;0;0;1;0;0;4;2;0;3;17;15;1
0;1;16;0;0;1;3;3;4;2;0;1;2;1;0;1;1;0;1;1;1;1;4;5;0;5;10;12;1
0;1;17;1;0;1;2;1;0;4;0;2;1;2;0;0;0;1;1;0;1;1;3;2;0;5;7;6;0
0;1;15;1;0;1;3;2;4;4;0;2;2;2;1;1;0;0;1;1;1;1;4;4;0;3;5;9;0
0;1;16;0;0;1;1;2;4;4;0;2;1;1;0;0;0;1;1;1;0;0;4;4;0;5;7;0;0
0;1;17;0;0;1;1;3;0;2;0;1;1;0;0;0;0;0;1;0;1;0;5;3;0;2;10;10;1
0;1;17;1;0;1;1;1;4;2;0;4;2;3;0;0;0;1;1;0;0;1;5;5;0;5;5;8;0
0;1;16;0;0;1;3;2;2;2;0;2;1;1;0;1;0;1;0;0;0;0;4;2;0;2;12;11;1
0;1;16;0;0;1;2;2;4;4;0;1;2;0;0;0;0;0;1;0;1;0;4;5;0;4;10;10;1
0;0;16;0;0;1;4;2;3;2;1;1;2;0;0;0;1;0;1;1;1;1;4;3;0;3;14;15;1
0;0;16;0;0;1;2;2;4;4;1;1;2;0;0;1;1;0;0;1;1;0;5;5;0;4;6;7;0
0;0;16;0;0;1;4;4;3;3;2;1;2;0;0;1;1;0;1;1;1;1;4;2;0;3;14;14;1
0;1;16;0;0;1;3;4;4;4;0;3;1;2;0;1;0;1;0;1;1;0;3;5;0;2;6;5;0
0;1;16;0;0;1;1;0;4;4;2;2;2;0;0;1;1;1;1;1;1;1;4;2;0;3;13;15;1
0;1;17;0;0;1;4;4;1;4;2;1;2;0;0;1;1;1;1;1;1;0;4;4;0;5;13;11;1
0;0;16;0;0;1;1;3;0;2;1;1;2;3;0;0;0;1;0;1;1;1;4;5;0;3;8;7;0
0;0;16;0;0;1;3;3;4;4;2;2;2;0;0;1;1;1;1;1;1;0;4;5;0;4;10;11;0
0;1;17;0;0;1;4;3;1;4;0;2;2;0;0;0;1;1;1;1;1;0;4;4;0;4;10;9;0
0;0;16;0;0;1;2;2;2;4;2;2;2;0;0;0;1;1;0;1;1;0;3;4;0;5;13;13;1
0;1;17;0;0;1;3;3;4;4;2;1;2;0;0;0;0;1;0;1;1;0;4;4;0;4;6;5;0
0;1;16;1;0;1;4;2;1;2;3;1;1;0;0;1;0;1;1;1;1;1;4;3;0;3;10;8;0
0;1;17;0;0;1;4;3;4;4;0;1;2;0;0;1;0;1;1;1;1;1;5;3;0;2;10;10;1
0;1;16;0;0;1;4;3;1;4;1;1;2;0;0;1;1;1;1;1;1;0;3;3;0;3;9;8;0
0;1;16;0;0;1;3;3;2;4;1;1;2;0;0;0;1;1;1;1;1;1;4;3;0;3;12;13;1
0;0;17;0;0;1;2;4;2;2;2;1;2;0;0;1;0;1;1;1;0;0;5;2;0;5;16;17;1
0;0;17;0;0;1;3;3;4;4;2;1;2;0;0;1;0;1;1;1;1;1;5;3;0;1;9;9;0
0;0;16;0;0;1;3;2;4;4;2;1;2;0;0;1;1;0;1;1;1;0;1;2;0;1;12;13;1
0;1;17;0;0;1;3;3;2;2;3;1;2;0;0;1;0;1;1;1;1;1;4;4;0;4;12;12;1
0;1;16;0;0;1;1;2;2;2;3;1;1;0;0;1;1;1;1;1;1;1;3;3;0;3;11;12;1
0;1;16;0;0;1;2;1;4;4;0;1;2;0;0;0;1;1;1;1;1;1;4;3;0;5;15;15;1
0;0;17;0;0;0;3;3;3;4;2;1;2;0;0;1;0;0;0;1;1;1;3;3;0;3;8;7;0
0;1;17;1;0;1;1;2;0;4;1;1;2;0;0;0;0;0;1;1;0;0;3;3;0;3;8;9;1
0;0;16;0;0;1;2;3;2;2;0;1;2;0;0;0;0;0;1;1;1;0;4;3;0;2;11;12;1
0;0;17;0;0;1;1;1;0;2;0;1;2;0;0;0;0;1;1;1;1;0;5;3;0;3;8;8;0
0;1;17;0;0;1;1;2;0;2;3;2;2;0;0;0;1;1;0;1;1;0;4;4;1;5;7;8;0
0;1;16;1;0;1;3;3;2;2;2;1;1;0;0;1;0;1;1;1;1;0;4;2;0;5;8;9;1
0;1;16;0;0;1;2;3;4;4;1;2;1;0;0;0;0;0;1;1;1;0;5;3;0;3;13;14;1
0;0;17;0;0;1;2;4;2;2;0;1;2;0;0;0;0;1;1;1;1;1;4;2;0;5;14;15;1
0;1;17;0;0;1;4;4;2;1;1;1;1;0;0;0;0;0;1;1;1;0;5;3;0;5;17;15;1
0;1;16;1;0;1;3;3;1;4;1;3;1;0;0;1;1;1;1;1;1;0;3;4;0;3;9;9;1
0;0;17;0;0;1;4;4;2;1;1;2;1;1;0;1;0;0;1;1;1;0;4;4;0;2;18;18;1
0;0;16;0;0;1;4;4;1;1;2;1;2;0;0;1;1;0;1;1;1;0;4;2;0;3;9;9;1
0;0;16;0;0;1;4;3;3;4;1;1;2;0;0;1;0;1;1;1;1;0;4;5;0;2;16;16;1
0;0;16;0;0;1;2;3;4;4;2;1;2;0;1;1;1;1;1;1;0;0;4;3;0;4;8;10;1
0;0;17;0;0;1;1;1;4;4;0;1;2;0;0;1;1;0;0;1;0;0;4;4;0;1;9;9;1
0;0;17;1;0;1;2;2;4;4;2;1;1;0;0;1;0;0;1;1;1;0;5;2;0;3;7;6;0
0;0;16;1;0;1;2;2;2;2;2;2;4;0;0;1;1;1;0;1;1;0;5;5;0;5;10;10;1
0;0;17;0;0;1;3;4;0;2;1;1;3;1;0;1;1;0;1;1;1;1;4;3;0;5;10;9;0
0;0;16;0;0;0;3;1;2;4;0;1;2;3;0;1;1;0;1;1;1;0;2;3;0;4;7;7;0
0;0;16;0;0;1;4;3;1;4;3;1;2;0;0;0;1;1;1;1;1;1;1;2;0;1;11;12;1
0;0;16;0;0;1;1;1;0;4;1;2;1;0;0;1;1;0;1;1;0;0;4;2;0;5;9;9;1
0;0;17;1;0;1;4;3;1;4;2;2;3;0;0;1;1;1;1;1;1;1;4;2;0;4;7;7;0
0;0;19;0;0;1;3;3;4;4;2;1;4;0;0;1;1;1;1;1;1;0;4;3;0;3;8;8;0
0;1;17;0;0;1;4;4;2;4;1;1;2;0;0;1;1;0;1;1;1;1;5;5;1;3;12;12;1
0;0;16;0;0;0;2;2;4;4;2;1;2;0;1;1;1;0;1;1;1;0;3;4;0;4;12;13;1
0;1;18;0;0;1;2;2;2;4;1;1;2;1;0;1;1;1;1;1;1;0;4;4;0;5;6;7;0
0;0;17;1;0;1;4;4;2;4;3;1;1;0;0;1;1;0;1;1;0;0;5;1;0;3;8;10;1
0;0;17;0;0;1;3;2;4;4;2;2;2;0;0;0;1;0;1;1;1;0;4;4;0;1;14;15;1
0;0;17;0;0;1;4;3;4;4;2;1;2;2;0;0;1;0;1;1;1;1;3;5;0;1;6;6;0
0;1;18;0;0;1;3;3;2;3;1;1;2;1;0;1;1;0;1;1;1;0;3;4;0;4;6;6;0
0;0;17;0;0;1;2;3;0;4;1;2;1;0;0;1;1;0;1;1;0;0;3;3;0;3;7;7;0
0;0;17;0;0;1;2;2;0;0;0;1;3;0;0;1;1;1;1;1;1;0;4;3;0;4;9;10;1
0;0;17;1;0;1;2;1;0;2;2;2;2;0;0;1;0;1;1;1;1;0;4;5;0;5;6;6;0
0;0;17;0;0;1;1;1;0;4;2;1;3;1;0;1;0;1;1;1;0;1;4;4;0;5;6;5;0
0;0;16;0;0;1;2;3;2;1;3;1;2;0;1;0;0;0;1;1;1;0;2;1;0;3;16;16;1
0;1;18;0;0;1;2;2;4;4;1;2;2;0;0;1;1;0;1;1;1;0;3;3;1;4;12;13;1
0;0;16;0;0;1;4;4;1;2;1;1;3;0;0;1;0;1;0;1;1;0;5;2;0;5;13;13;1
0;0;18;1;0;1;3;1;4;4;2;1;2;1;0;0;0;1;1;1;1;1;5;3;0;4;9;8;0
0;0;17;0;0;1;3;2;4;4;0;1;2;0;0;0;0;1;0;1;1;0;5;4;0;3;16;15;1
0;1;17;0;0;1;2;3;2;2;2;1;2;0;0;1;1;0;0;1;1;0;5;3;0;3;12;11;1
0;1;18;0;0;1;2;1;0;4;0;4;2;0;1;1;1;1;1;1;1;1;4;2;1;3;10;8;0
0;0;17;0;0;0;2;1;4;4;0;2;3;0;0;0;0;1;1;1;1;1;3;3;0;3;12;10;1
0;0;17;0;0;1;4;3;3;4;2;1;2;0;0;0;0;1;1;1;1;1;3;3;0;3;13;13;1
0;1;17;1;0;1;2;2;4;4;0;2;2;0;0;1;1;1;1;1;1;0;4;2;0;1;11;11;1
0;1;17;0;0;1;4;4;1;1;2;1;2;0;1;1;0;1;1;1;1;1;4;5;0;2;11;9;0
0;1;16;0;0;1;4;4;3;4;2;1;2;0;0;1;1;1;1;1;1;0;4;4;0;1;14;13;1
0;1;16;0;0;1;1;1;4;4;1;2;2;0;0;1;1;0;1;1;1;0;3;2;0;5;9;7;0
0;1;16;0;0;1;3;2;0;4;2;2;3;0;0;0;0;1;1;1;1;1;5;3;0;2;11;9;1
